beer_global_style,beer_style
Bock,Bock
Bock,Doppelbock
Bock,Eisbock
Bock,Maibock / Helles Bock
Bock,Weizenbock
Brown Ale,Altbier
Brown Ale,American Brown Ale
Brown Ale,Belgian Dark Ale
Brown Ale,English Brown Ale
Brown Ale,English Dark Mild Ale
Dark Ales,Dubbel
Dark Ales,Roggenbier
Dark Ales,Scottish Ale
Dark Ales,Winter Warmer
Dark Ales,American Black Ale
Dark Ales,Belgian Strong Dark Ale
Dark Lager,American Amber / Red Lager
Dark Lager,Czech Amber Lager
Dark Lager,Czech Dark Lager
Dark Lager,Euro Dark Lager
Dark Lager,Märzen / Oktoberfest
Dark Lager,Munich Dunkel Lager
Dark Lager,Rauchbier
Dark Lager,Schwarzbier
Dark Lager,Vienna Lager
Hybrid Beer,Bière de Champagne / Bière Brut
Hybrid Beer,Braggot
Hybrid Beer,California Common / Steam Beer
Hybrid Beer,Cream Ale
India Pale Ale,American IPA
India Pale Ale,Belgian IPA
India Pale Ale,Black IPA
India Pale Ale,Brut IPA
India Pale Ale,English India Pale Ale (IPA)
India Pale Ale,American Double / Imperial IPA
India Pale Ale,Milkshake IPA
India Pale Ale,New England IPA
Pale Ale,Belgian Strong Pale Ale
Pale Ale,American Amber / Red Ale
Pale Ale,American Blonde Ale
Pale Ale,American Pale Ale (APA)
Pale Ale,Belgian Blonde Ale
Pale Ale,Belgian Pale Ale
Pale Ale,Bière de Garde
Pale Ale,English Bitter
Pale Ale,English Pale Ale
Pale Ale,English Pale Mild Ale
Pale Ale,Extra Special / Strong Bitter (ESB)
Pale Ale,Grisette
Pale Ale,Irish Red Ale
Pale Ale,Kölsch
Pale Ale,Saison / Farmhouse Ale
Pale Lager,American Adjunct Lager
Pale Lager,American Pale Lager
Pale Lager,Czech Pilsener
Pale Lager,Dortmunder / Export Lager
Pale Lager,Euro Pale Lager
Pale Lager,Euro Strong Lager
Pale Lager,Festbier / Wiesnbier
Pale Lager,German Pilsener
Pale Lager,Munich Helles Lager
Pale Lager,American Double / Imperial Pilsner
Pale Lager,India Pale Lager (IPL)
Pale Lager,Kellerbier / Zwickelbier
Pale Lager,Light Lager
Pale Lager,American Malt Liquor
Porter,American Porter
Porter,Baltic Porter
Porter,English Porter
Porter,Imperial Porter
Porter,Robust Porter
Porter,Smoked Porter
Speciality Beer,Black & Tan
Speciality Beer,Chile Beer
Speciality Beer,Fruit / Vegetable Beer
Speciality Beer,Scottish Gruit / Ancient Herbed Ale
Speciality Beer,Herbed / Spiced Beer
Speciality Beer,Happoshu
Speciality Beer,Herb and Spice Beer
Speciality Beer,Japanese Rice Lager
Speciality Beer,Kvass
Speciality Beer,Low-Alcohol Beer
Speciality Beer,Pumpkin Ale
Speciality Beer,Rye Beer
Speciality Beer,Sahti
Speciality Beer,Smoked Beer
Stout,American Double / Imperial Stout
Stout,American Stout
Stout,English Stout
Stout,Foreign / Export Stout
Stout,Irish Dry Stout
Stout,Oatmeal Stout
Stout,Russian Imperial Stout
Stout,Milk / Sweet Stout
Strong Ale,American Barleywine
Strong Ale,American Strong Ale
Strong Ale,Belgian Dark Strong Ale
Strong Ale,Belgian Pale Strong Ale
Strong Ale,English Barleywine
Strong Ale,English Strong Ale
Strong Ale,Imperial Red Ale
Strong Ale,Old Ale
Strong Ale,Quadrupel (Quad)
Strong Ale,Scotch Ale / Wee Heavy
Strong Ale,Tripel
Strong Ale,Wheatwine
Wheat Beer,American Dark Wheat Ale
Wheat Beer,American Pale Wheat Ale
Wheat Beer,Dunkelweizen
Wheat Beer,Grodziskie
Wheat Beer,Hefeweizen
Wheat Beer,Kristalweizen
Wheat Beer,Witbier
Wild/Sour Beer,Berliner Weissbier
Wild/Sour Beer,Brett Beer
Wild/Sour Beer,Faro
Wild/Sour Beer,Flanders Oud Bruin
Wild/Sour Beer,Flanders Red Ale
Wild/Sour Beer,Fruit Lambic
Wild/Sour Beer,Fruited Kettle Sour
Wild/Sour Beer,Gose
Wild/Sour Beer,Gueuze
Wild/Sour Beer,Lambic - Fruit
Wild/Sour Beer,Lambic - Unblended
Wild/Sour Beer,American Wild Ale
Low Alcohol Beer,Low Alcohol Beer
